Y,Y,Y,Y
Y,Y,Y,H
Y,Y,Y,V
Y,Y,H,Y
Y,Y,H,H
Y,Y,H,V
Y,Y,V,Y
Y,Y,V,H
Y,Y,V,V
Y,H,Y,Y
Y,H,Y,H
Y,H,Y,V
Y,H,H,Y
Y,H,H,H
Y,H,H,V
Y,H,V,Y
Y,H,V,H
Y,H,V,V
Y,V,Y,Y
Y,V,Y,H
Y,V,Y,V
Y,V,H,Y
Y,V,H,H
Y,V,H,V
Y,V,V,Y
Y,V,V,H
Y,V,V,V
H,Y,Y,Y
H,Y,Y,H
H,Y,Y,V
H,Y,H,Y
H,Y,H,H
H,Y,H,V
H,Y,V,Y
H,Y,V,H
H,Y,V,V
H,H,Y,Y
H,H,Y,H
H,H,Y,V
H,H,H,Y
H,H,H,H
H,H,H,V
H,H,V,Y
H,H,V,H
H,H,V,V
H,V,Y,Y
H,V,Y,H
H,V,Y,V
H,V,H,Y
H,V,H,H
H,V,H,V
H,V,V,Y
H,V,V,H
H,V,V,V
V,Y,Y,Y
V,Y,Y,H
V,Y,Y,V
V,Y,H,Y
V,Y,H,H
V,Y,H,V
V,Y,V,Y
V,Y,V,H
V,Y,V,V
V,H,Y,Y
V,H,Y,H
V,H,Y,V
V,H,H,Y
V,H,H,H
V,H,H,V
V,H,V,Y
V,H,V,H
V,H,V,V
V,V,Y,Y
V,V,Y,H
V,V,Y,V
V,V,H,Y
V,V,H,H
V,V,H,V
V,V,V,Y
V,V,V,H
V,V,V,V
