Yin,Yin,Yin,Yin,Yin,Yin,
Yin,Yin,Yin,Yin,Yin,Yang,
Yin,Yin,Yin,Yin,Yang,Yin,
Yin,Yin,Yin,Yin,Yang,Yang,
Yin,Yin,Yin,Yang,Yin,Yin,
Yin,Yin,Yin,Yang,Yin,Yang,
Yin,Yin,Yin,Yang,Yang,Yin,
Yin,Yin,Yin,Yang,Yang,Yang,
Yin,Yin,Yang,Yin,Yin,Yin,
Yin,Yin,Yang,Yin,Yin,Yang,
Yin,Yin,Yang,Yin,Yang,Yin,
Yin,Yin,Yang,Yin,Yang,Yang,
Yin,Yin,Yang,Yang,Yin,Yin,
Yin,Yin,Yang,Yang,Yin,Yang,
Yin,Yin,Yang,Yang,Yang,Yin,
Yin,Yin,Yang,Yang,Yang,Yang,
Yin,Yang,Yin,Yin,Yin,Yin,
Yin,Yang,Yin,Yin,Yin,Yang,
Yin,Yang,Yin,Yin,Yang,Yin,
Yin,Yang,Yin,Yin,Yang,Yang,
Yin,Yang,Yin,Yang,Yin,Yin,
Yin,Yang,Yin,Yang,Yin,Yang,
Yin,Yang,Yin,Yang,Yang,Yin,
Yin,Yang,Yin,Yang,Yang,Yang,
Yin,Yang,Yang,Yin,Yin,Yin,
Yin,Yang,Yang,Yin,Yin,Yang,
Yin,Yang,Yang,Yin,Yang,Yin,
Yin,Yang,Yang,Yin,Yang,Yang,
Yin,Yang,Yang,Yang,Yin,Yin,
Yin,Yang,Yang,Yang,Yin,Yang,
Yin,Yang,Yang,Yang,Yang,Yin,
Yin,Yang,Yang,Yang,Yang,Yang,
Yang,Yin,Yin,Yin,Yin,Yin,
Yang,Yin,Yin,Yin,Yin,Yang,
Yang,Yin,Yin,Yin,Yang,Yin,
Yang,Yin,Yin,Yin,Yang,Yang,
Yang,Yin,Yin,Yang,Yin,Yin,
Yang,Yin,Yin,Yang,Yin,Yang,
Yang,Yin,Yin,Yang,Yang,Yin,
Yang,Yin,Yin,Yang,Yang,Yang,
Yang,Yin,Yang,Yin,Yin,Yin,
Yang,Yin,Yang,Yin,Yin,Yang,
Yang,Yin,Yang,Yin,Yang,Yin,
Yang,Yin,Yang,Yin,Yang,Yang,
Yang,Yin,Yang,Yang,Yin,Yin,
Yang,Yin,Yang,Yang,Yin,Yang,
Yang,Yin,Yang,Yang,Yang,Yin,
Yang,Yin,Yang,Yang,Yang,Yang,
Yang,Yang,Yin,Yin,Yin,Yin,
Yang,Yang,Yin,Yin,Yin,Yang,
Yang,Yang,Yin,Yin,Yang,Yin,
Yang,Yang,Yin,Yin,Yang,Yang,
Yang,Yang,Yin,Yang,Yin,Yin,
Yang,Yang,Yin,Yang,Yin,Yang,
Yang,Yang,Yin,Yang,Yang,Yin,
Yang,Yang,Yin,Yang,Yang,Yang,
Yang,Yang,Yang,Yin,Yin,Yin,
Yang,Yang,Yang,Yin,Yin,Yang,
Yang,Yang,Yang,Yin,Yang,Yin,
Yang,Yang,Yang,Yin,Yang,Yang,
Yang,Yang,Yang,Yang,Yin,Yin,
Yang,Yang,Yang,Yang,Yin,Yang,
Yang,Yang,Yang,Yang,Yang,Yin,
Yang,Yang,Yang,Yang,Yang,Yang,
